text,label,target_name,input_id
"
Secular laws seem to value criminal life more than the victims life,
Islam places the rights of society and every member in it above 
the rights of the individual, this is what I call true human rights.


As a Muslim living in a non-Muslim land I am bound by the laws of the land
I live in, but I do not disregard Islamic Law it still remains a part of my 
life. If the laws of a land conflict with my religion to such an extent
that I am prevented from being allowed to practise my religion then I must 
leave the land. So in a way Islamic law does take precendence over secular law
but we are instructed to follow the laws of the land that we live in too.

In an Islamic state (one ruled by a Khaliphate) religions other than Islam
are allowed to rule by their own religious laws provided they don't affect
the genral population and don't come into direct conflict with state 
laws, Dhimmis (non-Muslim population) are exempt from most Islamic laws
on religion, such as fighting in a Jihad, giving Zakat (alms giving)
etc but are given the benefit of these two acts such as Military
protection and if they are poor they will receive Zakat.


After the Fatwa didn't Rushdie re-affirm his faith in Islam, didn't
he go thru' a very public ""conversion"" to Islam? If so he is binding
himself to Islamic Laws. He has to publicly renounce in his belief in Islam
so the burden is on him.

Mas

",0,alt.atheism,doc_00183
"

Even if there was no independent proof that Luke's account was
valid, I find it strange that you would take the negation of it as
truth without any direct historical evidence (at least that you've
mentioned) to back it up.  The assertion was made, unequivocally
that no Christian ever sufferred for their faith by believing in
the Resurrection.  Luke's account suggests otherwise, and in the
absence of direct eyewitnesses who can claim that Luke is mistaken,
then I suggest that this unequivocal assertion is suspect.



-- 
John G. Ata - Technical Consultant | Internet:  ata@hfsi.com
HFS, Inc.		  VA20     |     UUCP:  uunet!hfsi!ata
7900 Westpark Drive	 MS:601	   |    Voice:	(703) 827-6810
McLean, VA  22102	           |      FAX:	(703) 827-3729

[I think the original claim may have been somewhat more limited than
this.  It was an answer to the claim that the witnesses couldn't
be lying because they were willign to suffer for their beliefs.
Thus it's not necessary to show that no Christian ever suffered
for believing in the Resurrection.  Rather the issue is whether
those who witnessed it did.

I do agree that the posting you're responding to shows that there
can be liberal as well as conservative dogmatism.",1,soc.religion.christian,doc_00320
"

This thread seems to be arguing the validity of a religious viewpoint
according to some utilitarian principle, i.e. atheism/religion is
wrong because it causes death.  The underlying `moral' is that death
is `wrong'.  This is a rather arbitrary measure of validity.

Get some epistemology.",0,alt.atheism,doc_01352
"



Of course, if you're planning to pull a Rushdie then declaring one's
leaving the religion is little to be concerned about compared to one's
other plans.


In Rushdie's case, the one under discussion, one can. It is tragic that
in _some_ ""Islamic"" countries this is so. There are, however, Islamic
countries (whose constitutions contains statements that Islamic law is
to be incorporated), e.g. Kuwait, where one can freely make such
statements without fear.



This story has become tiresome. The conditions are clear. If you care to
make your point clear then make a chronology and show that he had made
public statements about leaving Islam prior to his writing of _TSV_. If
he did make such statements then he should have made _that_ clear rather
than trying to rejoin Islam or go on talking about his personal
feelings.

",0,alt.atheism,doc_00071
"Library of Congress to Host Dead Sea Scroll Symposium April 21-22
 To: National and Assignment desks, Daybook Editor
 Contact: John Sullivan, 202-707-9216, or Lucy Suddreth, 202-707-9191
          both of the Library of Congress

   WASHINGTON, April 19  -- A symposium on the Dead Sea 
Scrolls will be held at the Library of Congress on Wednesday,
April 21, and Thursday, April 22.  The two-day program, cosponsored
by the library and Baltimore Hebrew University, with additional
support from the Project Judaica Foundation, will be held in the
library's Mumford Room, sixth floor, Madison Building.
   Seating is limited, and admission to any session of the symposium
must be requested in writing (see Note A).
   The symposium will be held one week before the public opening of a
major exhibition, ""Scrolls from the Dead Sea: The Ancient Library of
Qumran and Modern Scholarship,"" that opens at the Library of Congress
on April 29.  On view will be fragmentary scrolls and archaeological
artifacts excavated at Qumran, on loan from the Israel Antiquities
Authority.  Approximately 50 items from Library of Congress special
collections will augment these materials.  The exhibition, on view in
the Madison Gallery, through Aug. 1, is made possible by a generous
gift from the Project Judaica Foundation of Washington, D.C.
   The Dead Sea Scrolls have been the focus of public and scholarly
interest since 1947, when they were discovered in the desert 13 miles
east of Jerusalem.  The symposium will explore the origin and meaning
of the scrolls and current scholarship.  Scholars from diverse
academic backgrounds and religious affiliations, will offer their
disparate views, ensuring a lively discussion.
   The symposium schedule includes opening remarks on April 21, at
2 p.m., by Librarian of Congress James H. Billington, and by
Dr. Norma Furst, president, Baltimore Hebrew University.  Co-chairing
the symposium are Joseph Baumgarten, professor of Rabbinic Literature
and Institutions, Baltimore Hebrew University and Michael Grunberger,
head, Hebraic Section, Library of Congress.
   Geza Vermes, professor emeritus of Jewish studies, Oxford
University, will give the keynote address on the current state of
scroll research, focusing on where we stand today. On the second
day, the closing address will be given by Shmaryahu Talmon, who will
propose a research agenda, picking up the theme of how the Qumran
studies might proceed.
   On Wednesday, April 21, other speakers will include:

   -- Eugene Ulrich, professor of Hebrew Scriptures, University of
Notre Dame and chief editor, Biblical Scrolls from Qumran, on ""The
Bible at Qumran;""
   -- Michael Stone, National Endowment for the Humanities
distinguished visiting professor of religious studies, University of
Richmond, on ""The Dead Sea Scrolls and the Pseudepigrapha.""
   -- From 5 p.m. to 6:30 p.m. a special preview of the exhibition
will be given to symposium participants and guests.

   On Thursday, April 22, beginning at 9 a.m., speakers will include:

   -- Magen Broshi, curator, shrine of the Book, Israel Museum,
Jerusalem, on ""Qumran: The Archaeological Evidence;""
   -- P. Kyle McCarter, Albright professor of Biblical and ancient
near Eastern studies, The Johns Hopkins University, on ""The Copper
Scroll;""
   -- Lawrence H. Schiffman, professor of Hebrew and Judaic studies,
New York University, on ""The Dead Sea Scrolls and the History of
Judaism;"" and
   -- James VanderKam, professor of theology, University of Notre
Dame, on ""Messianism in the Scrolls and in Early Christianity.""

   The Thursday afternoon sessions, at 1:30 p.m., include:

   -- Devorah Dimant, associate professor of Bible and Ancient Jewish
Thought, University of Haifa, on ""Qumran Manuscripts: Library of a
Jewish Community;""
   -- Norman Golb, Rosenberger professor of Jewish history and
civilization, Oriental Institute, University of Chicago, on ""The
Current Status of the Jerusalem Origin of the Scrolls;""
   -- Shmaryahu Talmon, J.L. Magnas professor emeritus of Biblical
studies, Hebrew University, Jerusalem, on ""The Essential 'Commune of
the Renewed Covenant': How Should Qumran Studies Proceed?"" will close
the symposium.

   There will be ample time for question and answer periods at the
end of each session.

   Also on Wednesday, April 21, at 11 a.m.:
   The Library of Congress and The Israel Antiquities Authority
will hold a lecture by Esther Boyd-Alkalay, consulting conservator,
Israel Antiquities Authority, on ""Preserving the Dead Sea Scrolls""
in the Mumford Room, LM-649, James Madison Memorial Building, The
Library of Congress, 101 Independence Ave., S.E., Washington, D.C.
    ------
   NOTE A: For more information about admission to the symposium,
please contact, in writing, Dr. Michael Grunberger, head, Hebraic
Section, African and Middle Eastern Division, Library of Congress,
Washington, D.C. 20540.
 -30-",1,soc.religion.christian,doc_00577
"

Is the distinction important?


Well, our moral system seems to mimic the natural one, in a number of ways.


I don't know.  What is wrong?  Is it possible for humans to survive for
a long time in the wild?  Yes, it's possible, but it is difficult.  Humans
are a social animal, and that is a cause of our success.


Isn't it?  Why don't you think so?


No.  As noted earlier, lack of mating (such as abstinence or homosexuality)
isn't really destructive to the system.  It is a worst neutral.


Again, the mating practices are something to be reexamined...",0,alt.atheism,doc_00730
"
So why do I read in the papers that the Qumram texts had ""different
versions"" of some OT texts.   Did I misunderstand?",0,alt.atheism,doc_00819
"

Well, yes.  This is the real mystery of the matter, and why I am rather
dubious of a lot of the source theories.

There are a number of places where the Masoretic Text (MT) of the OT is
obscure and presumably corrupted.  These are reproduced exactly from copy to
copy.  The DSS tend to reflect the same ""errors"".  This would appear to tell
us that, at least from some point, people began to copy the texts very
exactingly and mechanically.  The problem is, we don't know what they did
before that.  But it seems as though accurate transmission begins at the
point at which the texts are perceived as texts.  They may be added to (and
in some situations, such as the end of Mark, material is lost), but for the
most part there are no substantial changes to the existing text.

You're basically trying to make a mountain out of a molehill.  Some people
like to use the game of ""telephone"" as a metaphor for the transmission of
the texts.  This clearly wrong.  The texts are transmitted accurately.",0,alt.atheism,doc_00805
"Therefore, whoever humbles himself like this child is the greatest in the
kingdom of heaven. ",1,soc.religion.christian,doc_01553
"Hypostasis

[I've explained it here before.  If you want the full document, ask me by mail
--Rex] 


   ""Questions arise as we begin to think about LOGOS and what His inner
consciousness was composed of. We need to clarify the two natures of Christ
briefly.  The divine nature, which has existed eternally, did not undertake any
essential changes during the incarnation which would cause a conflict with the
attributes of God, the foremost of these being His immutability.  This would
mean that it remained impassable, that is, incapable of suffering and death,
free from ignorance and insusceptible to weakness and temptation.  In the realm
of the divine nature it is better to say that the Son of God became that which
was not absolute-and in Himself.  The result of the incarnation was that the
divine LOGOS could be ignorant and weak, could be tempted and suffer and die,
not in His divine nature, but by the derivation of His possession of a human
nature.
     This would mean that both the properties of the divine nature and the
human nature are properties of the person, and therefore ascribed to the
person. By this reason we can say that the person can be omnipotent,
omniscient, and omnipresent, yet at the same time be also a man of limited
power, knowledge, a man of sorrows, subject to human wants and miseries.  There
is, however, no penetration of one nature into the other.  Deity can no more
share the imperfections of humanity than humanity can share in the essential
perfection of the Godhead.
     We are not to assume that there is a double personality due to the
possession of the double natures.  Christ's human nature is impersonal, in that
it attains self-consciousness and self-determination in the personality of the
God-man.  We must now differentiate between the person and the nature of the
Man. Nature is defined:

""the distinguishing qualities or properties of something; the fundamental
character, disposition or temperament of a living being, innate and
unchangeable.""

     Nature is then, in essence, the substance possessed in common, in as such
the Trinity have one nature.  There is also a common nature of mankind. 
Personality, on the other hand, is the separate subsistence of nature, with the
power of consciousness and will.  It is for this reason that the human nature
of Christ has not, nor ever had, a separate subsistence, that it is impersonal.
 LOGOS, the God-man, represents the principle of personality.  It is equally
important to see that self-consciousness and self-determination do not, as
such, belong to the nature.  It is for this reason that we can justifiably say
that Jesus did not have two consciousness or two wills, but rather one.  It is
theanthropic, an activity of the one personality which unites in itself the
human and the divine natures, being that neither the consciousness nor the will
are simply human or simply divine.""


[The quotation given above is not identified, and it's not entirely
clear to me what position Loren is taking on it.  Just for clarity,
let me note that the view expressed in it is one of the classic
Christological heresies -- monothelitism.  That's the position that
Christ's two natures were not complete, in that there was only one
will.  In most cases (which I think includes this example), it was the
human will that was regarded as missing.

Normally people who talk about Christ's human nature as being
""impersonal"" mean it in a somewhat more abstract sense.  That is, they
are using ""person"" as hypostatis, not in the usual English sense of
personality.  In this use, the doctrine is called ""anhypostasia"".
Personally I think anhypostasia is just a more sophisticated way of
denying that the Logos took on humanity fully.  However it has never
been formally ruled a heresy, and in fact has been held by influential
theologians both ancient and modern (e.g. Athanasius).  But the
quotation above appears to be going farther than even Athanasius went,
into the realm of the overtly heretical.",1,soc.religion.christian,doc_01714
"
Heck, I remember reading a quote of Luther as something like: ""Jews should
be shot like deer.""  And of course much Catholic doctrine for centuries was 
extremely anti-Semitic.


",0,alt.atheism,doc_00977
"
I'll also add that it is impossible to actually tell when one
_rejects_ god.  Therefore, you choose to punish only those who
_talk_ about it.  ",0,alt.atheism,doc_00115
"
First by his fruits.  The messiah comes to build the kingdom of heaven
on the earth.  He also comes to first reveal the root cause of
original sin (fallen nature) and then provide a means to cut the
connection to that original sin.  He also wants to create world peace
based on Godism.  The messiah's teachings will build on the foundation
of the Bible but provide profound new insights into the nature of God,
the fall of man, the purpose of creation, and God's providence of
restoration.  It will also provide a foundation for the unity of all
the World's religions.

Many Christians expect Jesus to come on literal clouds, so they may
miss him when he returns. Just as the Jewish people missed Jesus 2000
years ago.  They are still waiting for his first coming.  The Jewish
people of that age expected Elijah to come first.  Jesus said that
John the Baptist was Elijah. But John the Baptist denied that he was
Elijah.  (How did this reflect on Jesus?)  Later in prison John even
questioned who Jesus was: ""is he the one who is to come or do we look
for another"". (see book of Matthew)


David Koresh didn't even come close.  The problem is that people like
this make it difficult for people to believe and trust in the real
Messiah when he does show up.


Very good point and perhaps the most important point of all for
Christians: How to recognize the Second Coming?

The Messiah should not claim to be God.  What sets a Messiah apart is
that he is born without original sin.  He is not born perfect but
achieves perfection after a period of growth.  Adam and Eve were born
sinless but they fell, and this tragedy meant that it would take God
thousands of years to create the kingdom of heaven on the earth as God
originally intended.  God's restoration providence is still not
complete.  The messiah is the true Son of God, one with God, God's
representative on the earth, but not God himself.  There is only one
God.

...



Who else in this world is claiming to be the Messiah.  Maybe he's already here.",1,soc.religion.christian,doc_00390
"




Okay... I argued this thoroughly about 3-4 weeks ago.  Men and women are
different ... physically, physiologically, and psychologically.  Much
recent evidence for this statement is present in the book ""Brainsex"" by
Anne Moir and David Jessel.  I recommend you find a copy and read it.
Their book is an overview of recent scientific research on this topic
and is well referenced. 

Now, if women and men are different in some ways, the law can only
adequately take into account their needs in these areas where they are
different by also taking into account the ways in which men and women
are different.  Maternity leave is an example of this -- it takes into
account that women get pregnant.  It does not give women the same rules
it would give to men, because to treat women like it treats men in this
instance would be unjust.  This is just simply an obvious example of
where men and women are intrinsically different!!!!!

Now, people make the _naive_ argument that sexism = oppression.
However, maternity leave is sexist because MEN DO NOT GET PREGNANT. 
Men do not have the same access to leave that women do (not to the same
extent or degree), and therefore IT IS SEXIST.  No matter however much a
man _wants_ to get pregnant and have maternity leave, HE NEVER CAN.  And
therefore the law IS SEXIST.  No man can have access to maternity leave,
NO MATTER HOW HARD HE TRIES TO GET PREGNANT.  I hope this is clear.

Maternity leave is an example where a sexist law is just, because the
sexism here just reflects the ""sexism"" of nature in making men and women
different.  There are many other differences between men and women which
are far more subtle than pregnancy, and to find out more of these I
recommend you have a look at the book ""Brainsex"".

Your point that perhaps some day men can also be pregnant is fallacious.
If men can one day become pregnant it will be by having biologically
become women!  To have a womb and the other factors required for
pregnancy is usually wrapped up in the definition of what a woman is --
so your argument, when it is examined, is seen to be fallacious.  You
are saying that men can have the sexist maternity leave privilege that 
women can have if they also become women -- which actually just supports
my statement that maternity leave is sexist.


There is no official priesthood in Islam -- much of this function is
taken by Islamic scholars.  There are female Islamic scholars and
female Islamic scholars have always existed in Islam.  An example from
early Islamic history is the Prophet's widow, Aisha, who was recognized
in her time and is recognized in our time as an Islamic scholar.


You have no evidence for your blanket statement about all religions, and
I dispute it.  I could go on and on about women in Islam, etc., but I
recently reposted something here under the heading ""Islam and Women"" --
if it is still at your news-site I suggest you read it.  It is reposted
from soc.religion.islam, so if it has disappeared from alt.atheism it
still might be in soc.religion.islam (I forgot what its original title
was though).  I will email it to you if you like. 


Your statement that ""other religions are no different"" is, I think, a
statement based simply on lack of knowledge about religions other than
Christianity and perhaps Judaism.


Aisha, who I mentioned earlier, was not only an Islamic scholar but also
was, at one stage, a military leader.


The Prophet's first wife, who died just before the ""Hijra"" (the
Prophet's journey from Mecca to Medina) was a successful businesswoman.

Lucio, you cannot make a strong case for your viewpoint when your
viewpoint is based on ignorance about world religions.",0,alt.atheism,doc_01621
"My last article included this quote:

 ""If any substantial number of  [ talk.religion.misc ]  readers read some
  Wittgenstein, 60% of the postings would disappear.  (If they *understood*
  some Wittgenstein, 98% would disappear. :-))"" -- Michael L Siemon

 

There is a convention called a `smiley', which looks like this:   :-)  .
It is supposed to look like a sideways smiley-face, and indicates that the
preceding comment is supposed to be funny.


And, I'll note that I have participated on talk.religion.misc for over
five years -- I'd say Mr Siemon was not too far off.  8^)

 *

In the meat of his reply, Mr Boundary serves up an excellent example of what
I meant by ""There is no way out of the loop"".  I wrote that human brains ""are
infested with sin"", and can be trusted only in limited circumstances.



Which just moves the problem back one level: how do you tell if your
conscience is properly formed?

The only way to tell is to presuppose that you are capable of judging the
formed-ness of your own conscience.  In other words, you can only be sure
that your conscience is `properly formed' if you assume that your evaluation
can be trusted.  Assuming your conclusions saves you a lot of time, I'll
grant, but it's not a valid way of reasoning.

Unless you are infallible, your judgements about your own thinking cannot be
certain.  Therefore, it is not possible to be certain your conscience is
`properly formed'.  (Whatever that is supposed to mean.)


Mr Boundary then gives another paradigm example of the problem:


The Church is `by necessity' the infallible interpreter of divine revelation?
How do you know?  Presumably, you believe this because of some argument or
another -- how do you know that the argument contains no mistakes?

You write:


But there is a huge difference between `confidence in our ability to
distinguish what is true from what is not true' and `infallible'.  I am
confident about a lot of things, but absolute certainty is a very long way
from `confident'.

This discussion is about the arrogance of claiming to be absolutely certain
(really, go check the subject line).  Saying you are absolutely certain is
significantly different than saying you are confident.  When you say that
you are confident, that invites people to ask why.

Except in very limited circumstances, when you say that you are absolutely
certain, it invites people to dismiss you as someone who does not have any
idea of his own fallibility.


I have yet to meet anyone who believed in a knowably-infallible source of
truth who would admit the possibility of errors in his reasoning.  All of
them -- every last one -- has claimed that he was himself infallible.
The result has been to convince me that they had no idea what was going on.


Darren F Provine / kilroy@gboro.rowan.edu

[This particular discussion may not be entirely relevant to the
original criticism.  I get the feeling that the original poster
regarded as arrogant the very idea that there are right and wrong
answers in religion, and that the difference can have eternal
consequences.  When I say that I think there is a hell and that he is
at least in significant danger of ending up there, I will admit that
-- as you say -- the reasoning processes I used to reach this are
fallible.  Thus at least in principle I could be wrong.  But these
basic facts are clearly enough taught in the Bible that I think it's
unlikely that I'm misinterpreting it.  (In order to get this level of
confidence, I've tried to frame my statement sufficiently carefully as
to sidestep a number of the more controversial issues.  I haven't, for
example said that all non-Christians will definitely end up in hell,
and I haven't attempted to describe hell in any detail.)  I have a
feeling that my view is going to be regarded as arrogant and
intolerant even though I acknowledge that I'm fallible and so there's
some chance I'm wrong.

Don't get me wrong -- I think there are a lot of genuinely arrogant
Christians, and often criticism of us is justified.  But in at least
some cases I think the criticisms constitute blaming the messenger.
If the universe is set up so that there are eternal consequences for
certain decisions, it's not my fault -- I'm just telling it the way I
think it is.  You may think God is immoral for setting things up that
way.  It's one of the critiques of Christianity that I find it most
difficult to respond to.  But it's not arrogance for me to tell what
I think is the truth.",1,soc.religion.christian,doc_00511
"

For the last time, Bobby. Lack of belief in YOUR god does NOT imply
atheism. Just because some moslems aren't moral does not mean they don't
believe in a god named Allah, although their Allah may not do the things
your Allah does. If a moslem says he/she believes that a god exists, he/she
is a theist (though maybe not a TRUE follower of islam).



Jerk.
",0,alt.atheism,doc_00952
"[ref to Rev 12:7-12 deleted]

Also read Ezek 28:13-19.  This is a desctiption of Lucifer (later Satan)
and how beautiful He was, etc, etc

Grant",1,soc.religion.christian,doc_01117
"Does anyone belong to or know any facts about the
              Christian Reformed Church?",1,soc.religion.christian,doc_00434
"...


Seems to me if you learned to differentiate between illusion and
reality on your own you wouldn't need to rely on doctrines that
need to be updated.  My experience of Christianity (25+ years) is
that most Christians seek answers from clergymen who have little
or no direct experience of spiritual matters, and that most of
these questions can be answered by simple introspection.  Most
people suspect that they cannot trust their senses, but few take
the next step to figure out that they can trust themselves.  Not to
get too esoteric, but it seems that most religions, Christianity
included, are founded by particularly intuitive people who understand
this.

(stuff deleted)


And what if the original poster, Pixie, is never ""converted?""
Does it make sense that she (or I, or the majority of humanity
for that matter) would go to hell for eternity, as many 
Christians believe?  It makes more sense to me that rather
than be converted to a centuries-old doctrine that holds no
life for her, that she simply continue to decide for herself
what is best.  

--------------------------------------------",1,soc.religion.christian,doc_00095
"
Nope, Germany has extremely restrictive citizenship laws.  The 
ethnic Germans who have lived in Russia for over 100 years 
automatically become citizens if they move to Germany, but the
Turks who are now in their third generation in Germany can't.
It's not a very good example to show citizenship without descent.

Karl
 -----------------------------------------------------------------------------",0,alt.atheism,doc_01466
"
And how come we don't pass out bullet-proof vests in school
to promote safe gun usage? ",1,soc.religion.christian,doc_01611
"
Don't listen to this guy, he's just a crank.  At first, this business
about being the ""one true god"" was tolerated by the rest of us,
but now it has gotten completely out of hand.

Besides, it really isn't so bad when people stop believing in you.
It's much more relaxing when mortals aren't always begging you for favors.",0,alt.atheism,doc_00249
"
	That is not an ""atheism mythology"" in any sense of the word.
""Religious paradoy"" would be significantly more appropriate.

	The 2nd part is rendered null and void by the simple fact that I
do know several ""strong"" atheists. I am sure that others do. I myself am
""strong"" in the sense that I find the standard concept of God without any
meaning. Any attempt to bring meaning either results in the destruction of 
the viability of language, or in internal self contradiction. 

	The concept of strong atheism is not just a whimsical fantasy. They, 
and I, exist.

	Your strawman is pointless and weak.

---

Private note to Jennifer Fakult.

        ""This post may contain one or more of the following:
         sarcasm, cycnicism, irony, or humor. Please be aware 
         of this possibility and do not allow yourself to be 
         confused and/or thrown for a loop. If in doubt, assume
         all of the above.",0,alt.atheism,doc_00354
"
Lucky for them that the baby didn't have any obvious deformities!  I could
just see it now: Mary gets pregnant out of wedlock so to save face she and
Joseph say that it was God that got her pregnant and then the baby turns
out to be deformed, or even worse, stillborn!  They'd have a lot of
explaining to do.... :-)
",0,alt.atheism,doc_01420
